gml_id;spatial_na;BEZIRK;OTEIL;FLAECHE;FLAECHE_HA;CAPACITY;CAP_PER_HA
re_ortsteil.0502;502;Spandau;Haselhorst;45.224.253;452,24253;24;0,05
re_ortsteil.0506;506;Spandau;Kladow;147.789.577;1477,89577;72;0,05
re_ortsteil.0508;508;Spandau;Falkenhagener Feld;68.761.008;687,61008;32;0,05
re_ortsteil.0507;507;Spandau;Hakenfelde;203.810.246;2038,10246;10;0,00
re_ortsteil.0505;505;Spandau;Gatow;101.125.147;1011,25147;0;0,00
re_ortsteil.0601;601;Steglitz-Zehlendorf;Steglitz;67.858.362;678,58362;1070;1,58
re_ortsteil.0606;606;Steglitz-Zehlendorf;Nikolassee;19.621.765;196,21765;248;1,26
re_ortsteil.0605;605;Steglitz-Zehlendorf;Dahlem;83.949.803;839,49803;700;0,83
re_ortsteil.0604;604;Steglitz-Zehlendorf;Zehlendorf;188.074.469;1880,74469;1284;0,68
re_ortsteil.0603;603;Steglitz-Zehlendorf;Lankwitz;69.899.332;698,99332;274;0,39
re_ortsteil.0602;602;Steglitz-Zehlendorf;Lichterfelde;182.262.327;1822,62327;520;0,29
re_ortsteil.0607;607;Steglitz-Zehlendorf;Wannsee;237.353.119;2373,53119;234;0,10
re_ortsteil.0706;706;Tempelhof-Schöneberg;Lichtenrade;10.051.826;100,51826;252;2,51
re_ortsteil.0701;701;Tempelhof-Schöneberg;Schöneberg;106.428.292;1064,28292;2224;2,09
re_ortsteil.0702;702;Tempelhof-Schöneberg;Friedenau;16.551.085;165,51085;276;1,67
re_ortsteil.0703;703;Tempelhof-Schöneberg;Tempelhof;121.803.687;1218,03687;518;0,43
re_ortsteil.0704;704;Tempelhof-Schöneberg;Mariendorf;93.775.854;937,75854;316;0,34
re_ortsteil.0705;705;Tempelhof-Schöneberg;Marienfelde;91.429.532;914,29532;202;0,22
re_ortsteil.0904;904;Treptow-Köpenick;Johannisthal;697.177;6,97177;44;6,31
re_ortsteil.0901;901;Treptow-Köpenick;Alt-Treptow;23.139.866;231,39866;272;1,18
re_ortsteil.0907;907;Treptow-Köpenick;Adlershof;61.532.598;615,32598;568;0,92
re_ortsteil.0903;903;Treptow-Köpenick;Baumschulenweg;4.824.659;48,24659;22;0,46
re_ortsteil.0909;909;Treptow-Köpenick;Oberschöneweide;81.960.874;819,60874;324;0,40
re_ortsteil.0905;905;Treptow-Köpenick;Niederschöneweide;30.259.835;302,59835;56;0,19
re_ortsteil.0902;902;Treptow-Köpenick;Plänterwald;30.152.896;301,52896;50;0,17
re_ortsteil.0911;911;Treptow-Köpenick;Friedrichshagen;140.338.696;1403,38696;230;0,16
re_ortsteil.0913;913;Treptow-Köpenick;Grünau;91.418.916;914,18916;124;0,14
re_ortsteil.0906;906;Treptow-Köpenick;Altglienicke;78.772.695;787,72695;106;0,13
re_ortsteil.0910;910;Treptow-Köpenick;Köpenick;348.701.653;3487,01653;316;0,09
re_ortsteil.0908;908;Treptow-Köpenick;Bohnsdorf;65.246.498;652,46498;58;0,09
re_ortsteil.0912;912;Treptow-Köpenick;Rahnsdorf;214.428.845;2144,28845;138;0,06
re_ortsteil.0914;914;Treptow-Köpenick;Müggelheim;222.205.081;2222,05081;72;0,03
re_ortsteil.0915;915;Treptow-Köpenick;Schmöckwitz;171.247.754;1712,47754;16;0,01
